PROCEDIMENTO;RN_ALTERACAO;VIGENCIA;OD;AMB;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPITULO
ISTMECTOMIA OU NODULECTOMIA;;;;;;;;;;TIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TIREOIDECTOMIA PARCIAL OU TOTAL COM OU SEM ESVAZIAMENTO GANGLIONAR;;;;;;;;;;TIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE PARATIREÓIDE;;;;;;;;;;PARATIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARATIREOIDECTOMIA COM ESVAZIAMENTO CERVICAL;;;;;;;;;;PARATIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARATIREOIDECTOMIA COM TORACOTOMIA;;;;;;;;;;PARATIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARATIREOIDECTOMIA SUBTOTAL;;;;;;;;;;PARATIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARATIREOIDECTOMIA TOTAL COM IMPLANTE DE PARATIREÓIDES;;;;;;;;;;PARATIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE DE PARATIREÓIDE PREVIAMENTE PRESERVADA;;;;;;;;;;PARATIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DO HIPERPARATIREOIDISMO;;;;;;;;;;PARATIREÓIDE;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CRANIOPLASTIA;;;;;;;;;;CRÂNIO;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CRANIOTOMIA OU CRANIECTOMIA DESCOMPRESSIVA;;;;;;;;;;CRÂNIO;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CRANIOTOMIA PARA TUMORES ÓSSEOS;;;;;;;;;;CRÂNIO;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
RECONSTRUÇÃO CRANIANA OU CRANIOFACIAL;;;;;;;;;;CRÂNIO;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE CRANIOPLASTIA;;;;;;;;;;CRÂNIO;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA CRANIOSSINOSTOSE;;;;;;;;;;CRÂNIO;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA FRATURA DO CRÂNIO - AFUNDAMENTO;;;;;;;;;;CRÂNIO;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA OSTEOMIELITE DE CRÂNIO;;;;;;;;;;CRÂNIO;CABEÇA E PESCOÇO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO DE PÁLPEBRA - DRENAGEM;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE PÁLPEBRA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLEFARORRAFIA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CALÁZIO - TRATAMENTO CIRÚRGICO;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CANTOPLASTIA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOBOMA - CORREÇÃO CIRÚRGICA (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO CIRÚRGICA DE ECTRÓPIO OU ENTRÓPIO;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPICANTO - CORREÇÃO CIRÚRGICA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPILAÇÃO DE CÍLIOS POR ELETRÓLISE;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FISSURA PALPEBRAL - CORREÇÃO CIRÚRGICA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LAGOFTALMO - CORREÇÃO CIRÚRGICA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÁLPEBRA - RECONSTRUÇÃO PARCIAL COM OU SEM RESSECÇÃO DE TUMOR;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÁLPEBRA - RECONSTRUÇÃO TOTAL COM OU SEM RESSECÇÃO DE TUMOR;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PTOSE PALPEBRAL - CORREÇÃO CIRÚRGICA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
RESSECÇÃO DE TUMORES PALPEBRAIS;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETRAÇÃO PALPEBRAL - CORREÇÃO CIRÚRGICA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SIMBLÉFARO COM OU SEM ENXERTO - CORREÇÃO CIRÚRGICA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SUPERCÍLIO - RECONSTRUÇÃO;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SUTURA DE PÁLPEBRA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TARSORRAFIA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TELECANTO - CORREÇÃO CIRÚRGICA;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRIQUÍASE COM OU SEM ENXERTO;;;;;;;;;;PÁLPEBRA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO DA ENOFTALMIA;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOMPRESSÃO DE ÓRBITA OU NERVO ÓTICO;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXENTERAÇÃO DE ÓRBITA COM OU SEM OSTEOTOMIA;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA (TEMPO FACIAL) PÁLPEBRA, CAVIDADE ORBITÁRIA E OLHOS;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE OU RESSECÇÃO DE TUMOR DE ÓRBITA;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DE ÓRBITA - REDUÇÃO CIRÚRGICA COM OU SEM ENXERTO ÓSSEO;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE SECUNDÁRIO DE ÓRBITA;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICROCIRURGIA PARA TUMORES ORBITÁRIOS;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTITUIÇÃO DE PAREDES ORBITÁRIAS;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DA CAVIDADE ORBITAL;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE TUMORES DA CAVIDADE ORBITÁRIA;;;;;;;;;;CAVIDADE ORBITÁRIA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
AUTOTRANSPLANTE CONJUNTIVAL;;;;;;;;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE CONJUNTIVA;;;;;;;;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE PTERÍGIO;;;;;;;;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR DE CONJUNTIVA;;;;;;;;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INFILTRAÇÃO SUBCONJUNTIVAL;;;;;;;;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PLÁSTICA DE CONJUNTIVA PARA PTERÍGIO, TUMORES OU TRAUMAS;;;;;;;;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTITUIÇÃO DE FUNDO DE SACO;;;;;;;;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SUTURA DE CONJUNTIVA;;;;;;;;;;CONJUNTIVA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CAUTERIZAÇÃO DE CÓRNEA;;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CERATECTOMIA FOTOTERAPÊUTICA (PTK);;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CERATECTOMIA SUPERFICIAL;;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA REFRATIVA - PRK OU LASIK (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RADIAÇÃO PARA CROSS LINKING CORNEANO (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE ANEL INTRAESTROMAL (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECOBRIMENTO CONJUNTIVAL;;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO DA CÓRNEA;;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SUTURA DE CÓRNEA (COM OU SEM HÉRNIA DE ÍRIS);;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TARSOCONJUNTIVOCERATOPLASTIA;;;;;;;;;;CÓRNEA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARACENTESE DA CÂMARA ANTERIOR;;;;;;;;;;CÂMARA ANTERIOR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
RECONSTRUÇÃO DA CÂMARA ANTERIOR;;;;;;;;;;CÂMARA ANTERIOR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REMOÇÃO DE HIFEMA;;;;;;;;;;CÂMARA ANTERIOR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO DA CÂMARA ANTERIOR;;;;;;;;;;CÂMARA ANTERIOR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CAPSULOTOMIA YAG OU CIRÚRGICA;;;;;;;;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FACECTOMIA COM LENTE INTRA-OCULAR COM OU SEM FACOEMULSIFICAÇÃO;;;;;;;;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FACECTOMIA SEM IMPLANTE;;;;;;;;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE SECUNDÁRIO / EXPLANTE DE LENTE INTRA-OCULAR;;;;;;;;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REMOÇÃO DE PIGMENTOS DA LENTE INTRA-OCULAR COM YAG LASER, APÓS CIRURGIA DE CATARATA;;;;;;;;;;CRISTALINO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE TUMOR VIA PARS PLANA;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE VÍTREO VIA PARS PLANA;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENDOLASER/ENDODIATERMIA;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE SILICONE INTRAVÍTREO;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INFUSÃO DE PERFLUOCARBONO;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO OCULAR QUIMIOTERÁPICO COM ANTIANGIOGÊNICO (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEMBRANECTOMIA EPI OU SUB-RETINIANA;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE CORPO ESTRANHO;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE ÓLEO DE SILICONE;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TROCA FLUIDO GASOSA;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VITRECTOMIA A CÉU ABERTO - CERATOPRÓTESE;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
VITRECTOMIA ANTERIOR;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VITRECTOMIA VIAS PARS PLANA;;;;;;;;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE ESCLERA;;;;;;;;;;ESCLERA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO DE ESCLERA;;;;;;;;;;ESCLERA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SUTURA DE ESCLERA;;;;;;;;;;ESCLERA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENUCLEAÇÃO OU EVISCERAÇÃO COM OU SEM IMPLANTE;;;;;;;;;;BULBO OCULAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INJEÇÃO RETROBULBAR;;;;;;;;;;BULBO OCULAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTITUIÇÃO DE GLOBO OCULAR COM LESÃO DE ESTRUTURAS INTRA-OCULARES;;;;;;;;;;BULBO OCULAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE ÍRIS E CORPO CILIAR;;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CICLOTERAPIA ANTIGLAUCOMATOSA;;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIAS FISTULIZANTES ANTIGLAUCOMATOSAS COM OU SEM IMPLANTES DE DRENAGEM;;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA ANTIGLAUCOMATOSA VIA ANGULAR COM IMPLANTE DE STENT DE DRENAGEM POR TÉCNICA MINIMAMENTE INVASIVA (COM DIRETRIZ DE UTILIZAÇÃO);473/2021;08/11/2021;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DRENAGEM DE DESCOLAMENTO DE CORÓIDE;;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FIXAÇÃO ESCLERAL OU IRIANA DE LENTE INTRA-OCULAR (EXCETO PARA CORREÇÃO ISOLADA DE DISTÚRBIOS DE REFRAÇÃO);;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FOTOTRABECULOPLASTIA (LASER);;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
GONIOTOMIA OU TRABECULOTOMIA;;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IRIDECTOMIA (LASER OU CIRÚRGICA);;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IRIDOCICLECTOMIA;;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SINEQUIOTOMIA (LASER OU CIRÚRGICA);;;;;;;;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
BIÓPSIA DE MÚSCULOS;;;;;;;;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA COM SUTURA AJUSTÁVEL;;;;;;;;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTRABISMO CICLO VERTICAL/TRANSPOSIÇÃO;;;;;;;;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTRABISMO HORIZONTAL;;;;;;;;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INJEÇÃO OCULAR DE TOXINA BOTULÍNICA;;;;;;;;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
APLICAÇÃO DE PLACA RADIATIVA EPISCLERAL;;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE RETINA;;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR DE CORÓIDE E/OU CORPO CILIAR;;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FOTOCOAGULAÇÃO (LASER);;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE INTRAVÍTREO DE POLÍMERO FARMACOLÓGICO DE LIBERAÇÃO CONTROLADA (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MAPEAMENTO DE RETINA (FUNDOSCOPIA);;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PANCRIOTERAPIA PERIFÉRICA;;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PANTOFOTOCOAGULAÇÃO Á LASER NA RETINOPATIA DA PREMATURIDADE (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REMOÇÃO DE IMPLANTE EPISCLERAL;;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA COM INTROFLEXÃO ESCLERAL;;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA PNEUMÁTICA;;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA PROFILÁTICA (CRIOPEXIA);;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TERMOTERAPIA TRANSPUPILAR A LASER (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA DA GLÂNDULA LACRIMAL;;;;;;;;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
DACRIOCISTECTOMIA;;;;;;;;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DACRIOCISTORRINOSTOMIA COM OU SEM INTUBAÇÃO;;;;;;;;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FECHAMENTO DOS PONTOS LACRIMAIS;;;;;;;;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTITUIÇÃO DE VIAS LACRIMAIS COM SILICONE OU OUTRO MATERIAL;;;;;;;;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SONDAGEM DAS VIAS LACRIMAIS - COM OU SEM LAVAGEM;;;;;;;;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE PAVILHÃO AURICULAR;;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR;;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA PAVILHÃO AURICULAR (TEMPO FACIAL);;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DE ORELHA;;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DE UNIDADE ANATÔMICA DO PAVILHÃO AURICULAR;;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO TOTAL DE ORELHA;;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE ORELHA;;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE TUMOR DE PAVILHÃO AURICULAR, INCLUINDO PARTE DO OSSO TEMPORAL;;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE SINUS PRÉ-AURICULAR;;;;;;;;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ASPIRAÇÃO AURICULAR OU CURATIVO;;;;;;;;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE ORELHA EXTERNA;;;;;;;;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTENOSE DE CONDUTO AUDITIVO EXTERNO - CORREÇÃO;;;;;;;;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE CISTO PRÉ-AURICULAR;;;;;;;;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FURÚNCULO - DRENAGEM;;;;;;;;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
PERICONDRITE DE PAVILHÃO - TRATAMENTO CIRÚRGICO;;;;;;;;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE CORPOS ESTRANHOS OU PÓLIPOS E OU BIÓPSIA;;;;;;;;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR DE CONDUTO AUDITIVO EXTERNO - EXÉRESE;;;;;;;;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CAUTERIZAÇÃO DE MEMBRANA TIMPÂNICA;;;;;;;;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DUCHA DE POLITZER OU CURATIVO DE OUVIDO;;;;;;;;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
